Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
AC0043;MANTA RECIBIDORA 70X75CM;MANTAS;Flores/Blanco,Zorzal/Rosa,Dinos/Celeste,Rayas/Celeste,Elefante/Gris,Osito/Blanco;4900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725988/nthsmu6ahbivonaehnck.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725988/tsrdvjd5udcx1tfw8tc8.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725988/soercjve9jcmfhifxeol.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725988/ncuimnbjmjc9vnjvdnfv.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725988/qmd10vinxi9ue8rps98n.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725988/runcpmv86gfcyllzwqvv.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725988/omd7qkxpuhd88k90kq5g.jpg;no;no;7/7/2025;;public;
AC0044;ALMOHADAS ESTRELLA;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260144/f1ixdjnxxoddahbm1dwr.jpg;no;no;7/7/2025;;public;
AC0045;ALMOHADAS FLORES;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260150/k94i0pdth6xudk1g0p25.jpg;no;no;7/7/2025;;public;
AC0046;ALMOHADAS ROSAS;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260157/kntth3jhilsz1t5qhzp1.jpg;no;no;7/7/2025;;public;
AC0047;ALMOHADAS ANIM ARCOIRIS;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260164/kmfasfwtb9pophoqjwex.jpg;no;no;7/7/2025;;public;
AC0048;ALMOHADAS ANIM ROSA;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260176/zhhwyggnf9i1ia5imhbp.jpg;no;no;7/7/2025;;public;
AC0049;ALMOHADAS SPACE;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260186/zkvfid368mm6qyndsaxy.jpg;no;no;7/7/2025;;public;
AC0050;ALMOHADAS ANIM AZUL;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260191/nixrfaf3hwqomzw3glfw.jpg;no;no;7/7/2025;;public;
AC0051;ALMOHADAS ANIM NORDICO;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260198/o6pt27ozkvkx5gqpgb62.jpg;no;no;7/7/2025;;public;
AC0052;CUELLITO ARCOIRIS;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260256/zdcn6p5auciy9bqocnrc.jpg;no;no;7/7/2025;;public;
AC0053;CUELLITO ESTRELLA;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260263/lsjzluiyll7mxfqsjvpp.jpg;no;no;7/7/2025;;public;
AC0054;CUELLITO HOJAS NEGRAS;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260270/sljdt9utdkzyvt8cpucw.jpg;no;no;7/7/2025;;public;
AC0055;CUELLITO ANIM NORDICO;ALMOHADAS;Unico;2900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260277/paczxk88xbfpxbdottb9.jpg;no;no;7/7/2025;;public;
AC0056;CAMBIADORES ARCOIRIS;CAMBIADORES;Unico;5000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260288/cnanaispcjfv9utidufa.jpg;no;no;7/7/2025;;public;
AC0057;CAMBIADORES FLORES;CAMBIADORES;Unico;5000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260300/lev9ohkpas3edolktvk2.jpg;no;no;7/7/2025;;public;
AC0058;CAMBIADORES ANIM ROSA;CAMBIADORES;Unico;5000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260309/hadl1keqmasmwnhuo4al.jpg;no;no;7/7/2025;;public;
AC0059;CAMBIADORES ESTRELLA;CAMBIADORES;Unico;5000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260316/wcuqaxoyscgqgsim5elv.jpg;no;no;7/7/2025;;public;
AC0060;CAMBIADORES ANIM NORDICO;CAMBIADORES;Unico;5000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260333/t8qs6smc75cx32yxhgqa.jpg;no;no;7/7/2025;;public;
AC0061;BABITAS TOALLA PACK X3;BABITAS;Nena,Varon,Unisex;3500;;no;no;7/7/2025;;paused;
AC0062;BABITAS TOALLA PACK X12;BABITAS;Nena,Varon,Unisex,Surtido;10000;;no;no;7/7/2025;;paused;
AC0063;BABITAS PEQUE ALG PACK X6;BABITAS;Nena,Varon,Unisex,Surtido;5900;;no;no;7/7/2025;;paused;
AC0064;BABERO SILICONA;BABEROS;Rojo,Natural,Gris,Verde;4900;;no;no;7/7/2025;;paused;
AC0065;BABERO GABARDINA X3;BABEROS;Nena,Varon,Unisex;4900;;no;no;7/7/2025;;paused;
AC0066;BABERO BANDANA ALG X3;BABEROS;Nena,Varon,Unisex;3500;;no;no;7/7/2025;;paused;
AC0067;BABERO PEQUE X3;BABEROS;Nena,Varon,Unisex;4900;;no;no;7/7/2025;;paused;
AC0068;BABERO BANDEJA;BABEROS;Nena,Varon,Unisex;3500;;no;no;7/7/2025;;paused;
AC0069;BABERO C/MANGA;BABEROS;Nena,Varon,Unisex;3000;;no;no;7/7/2025;;paused;
AC0070;BABERO PLAST;BABEROS;Nena,Varon,Unisex;2800;;no;no;7/7/2025;;paused;
AC0071;MOCHILA GABARDINA;MOCHILAS Y BOLSOS;Nena,Varon,Unisex;14900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743261116/oasexpovxd2mcnlsnzls.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743261116/u2qxewdk0kbviauefelq.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743261116/scxp0hgtjtw2iyubfuuq.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743261119/wrw665e4n80ufxotfumw.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743261116/czpfoujpwngd7j7h7izr.jpg;no;no;7/7/2025;;public;
;;;;;;no;no;;;;
