Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
PR0040;GORRO OREJAS ALG X3 NATURAL-ROSA-BLANCO;GORROS;Prematuro;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258959/ou9dqpviavybkaggqooo.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258959/f9j2umnsn9rufb62015r.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258959/a7nvjyionlrpobtjqt3o.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258959/daglysim07pngjolzrw9.jpg;no;no;7/7/2064;;public;
PR0041;GORRO OREJAS ALG X3 NATURAL-CELESTE-BLANCO;GORROS;Prematuro;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258984/xrqauu2nxn6tfdxgypb8.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258983/kiuxxevicowm2q1wb1dm.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258983/sjlxdqjdrlxqtkyiokdz.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258983/jdq0zvk6qcfyqexvdgrg.jpg;no;no;7/7/2065;;public;
PR0042;GORRO OREJAS ALG X3 GRIS-CELESTE-NATURAL;GORROS;Prematuro;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259017/wgehtghhs0shv3kgvv9x.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259015/usifqelnqc79pjo6fhvj.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259015/kwono8ttrosoajjtc7sa.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259015/b79w9cvcl96idxsb6jh2.jpg;no;no;7/7/2066;;public;
PR0043;GORRO DORMILON ROSA;GORROS;Prematuro;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259055/jzubwkvzggrqlmdh6hxs.jpg;no;no;7/7/2067;;public;
PR0044;GORRO DORMILON NATURAL;GORROS;Prematuro;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259075/ov7isdbpfmt7dcfx0q1n.jpg;no;no;7/7/2068;;public;
PR0045;GORRO DORMILON BLANCO;GORROS;Prematuro;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259082/k0n4ddh30v9te07se9vw.jpg;no;no;7/7/2069;;public;
PR0046;GORRO DORMILON CELESTE;GORROS;Prematuro;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259088/s4fx2mjmmg2yy3re56ii.jpg;no;no;7/7/2070;;public;
PR0047;GORRO DORMILON GRIS;GORROS;Prematuro;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259095/gzv0pimc6tukbihzhgxz.jpg;no;no;7/7/2071;;public;
PR0048;GORRO DORMILON SURTIDO X12;GORROS;Prematuro;15000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259107/pti3toluxv9jmkqhsbpl.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259108/a7nhvnkvkhq98d7rybfq.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259107/hzqznqhhp2zfps2oq4w8.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259107/rntyjkdmv9mr0qmi9n8q.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259108/wzm7dvgonkgr47bmiggt.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259108/qjngbgdj1mi4xgenkqbo.jpg;no;no;7/7/2072;;public;
PR0049;GORRO PLUSH OREJITA GRIS;GORROS;Prematuro;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259120/gjnauknpq1yaghnrliq1.jpg;no;no;7/7/2073;;public;
PR0050;GORRO PLUSH OREJITA ROSA;GORROS;Prematuro;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260072/rvivaztrmw7bgjjsqdfx.jpg;no;no;7/7/2074;;public;
PR0051;GORRO PLUSH OREJITA CELESTE;GORROS;Prematuro;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260092/dtuoxxf5fiwtp4r5qew3.jpg;no;no;7/7/2075;;public;
PR0052;GORRO PLUSH OREJITA CHICLE;GORROS;Prematuro;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260099/nnfvxgfa211u9mysudjl.jpg;no;no;7/7/2076;;public;
PR0053;GORRO PLUSH OREJITA PINK;GORROS;Prematuro;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260107/zznfj25wlqmop3sfgujz.jpg;no;no;7/7/2077;;public;
PR0054;GORRO PLUSH OREJITA SURTIDO X12;GORROS;Prematuro;22800;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/d5lyoul59fay8y2ecmcy.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/eq846e3ucgxmz82u4nqb.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/rxj0wreu36ugsbclifsi.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/nqb4fezq7lio7kluphuz.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/mnt02uvehm1zmk9wvwra.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/wkkexozg9mfeequhij2y.jpg;no;no;7/7/2078;;public;
